addon_id,addon_name,addon_category,suitable_use_case,recommended_for_build_type,trigger_gpu_tier,trigger_budget_range,price,priority,recommendation_section,stock,delivery_required,reason,benefit,upsell_message
A011,UPS Power Backup,protection,gaming;workstation;general,balanced gaming;high-end gaming;editing workstation;professional workstation;home office build,mid;high;integrated,3000-5000;4000-6000;5000-8000;6000-9000;2000-4000,249,high,frequently_bought_next;complete_your_setup;smart_budget_upsize,12,TRUE,Protects against sudden power loss and unstable electricity.,Prevents data loss and hardware stress during power interruptions.,Protect the PC investment with a UPS backup.
A012,Premium UPS Power Backup,protection,gaming;workstation,high-end gaming;professional workstation,high,5000-8000;6000-9000,349,high,frequently_bought_next;smart_budget_upsize,7,TRUE,Higher-value systems need stronger power protection.,Longer backup time and better protection for expensive builds.,"For premium builds, recommend a stronger UPS protection package."
A013,Surge Protector,protection,gaming;workstation;general,budget gaming;balanced gaming;home office build;editing workstation,low;mid;integrated,2000-3000;3000-5000;2000-4000;4000-6000,59,high,frequently_bought_next;complete_your_setup,35,TRUE,Low-cost protection for high-value electronics.,Protects components against voltage spikes.,Add surge protection as a small but high-value protection upsell.
A014,Extended Warranty - Standard,service,gaming;workstation;general,budget gaming;balanced gaming;home office build;editing workstation,low;mid;integrated,2000-3000;3000-5000;2000-4000;4000-6000,199,medium,frequently_bought_next;complete_your_setup,99,FALSE,Reduces repair concern after purchase.,Provides service assurance and customer confidence.,Offer a standard warranty extension to reduce ownership risk.
A015,Extended Warranty - Premium,service,gaming;workstation,high-end gaming;professional workstation,high,5000-8000;6000-9000,299,high,frequently_bought_next;complete_your_setup;smart_budget_upsize,99,FALSE,High-value systems have stronger warranty appeal.,Reduces downtime and protects expensive components.,Recommend premium warranty for high-value builds.
A016,External Backup Drive,storage_addon,workstation;general,editing workstation;professional workstation;home office build,mid;high;integrated,4000-6000;6000-9000;2000-4000,399,high,frequently_bought_next;complete_your_setup,11,TRUE,Users with important files often need backup storage.,Provides offline backup and data protection.,Add an external backup drive for safer file management.
A017,Cloud Backup Service,service,workstation;general,editing workstation;professional workstation;home office build,mid;high;integrated,4000-6000;6000-9000;2000-4000,199,medium,frequently_bought_next;complete_your_setup,99,FALSE,Customers doing productive work may need offsite backup.,Adds data redundancy and disaster recovery.,Offer cloud backup as a service-based upsell.
A018,Additional Case Fans Pack,cooling_addon,gaming;workstation,balanced gaming;high-end gaming;editing workstation,mid;high,3000-5000;5000-8000;4000-6000,89,medium,frequently_bought_next;complete_your_setup;smart_budget_upsize,18,TRUE,Mid-tower and gaming builds benefit from better airflow.,Lowers temperature and improves long-term stability.,Improve airflow with an additional case fan pack.
A019,Premium Thermal Paste,cooling_addon,gaming;workstation,balanced gaming;high-end gaming;professional workstation,mid;high,3000-5000;5000-8000;6000-9000,39,low,frequently_bought_next;complete_your_setup,30,TRUE,Cooling-focused buyers often add better thermal paste.,Improves heat transfer between CPU and cooler.,Small-cost thermal upgrade to support cooler performance.
A020,Premium Gaming Headset,audio,gaming,balanced gaming;high-end gaming,mid;high,3000-5000;5000-8000,299,medium,frequently_bought_next;complete_your_setup,10,TRUE,Gaming users commonly add audio accessories.,Improves communication and immersion.,Complete the gaming setup with a premium headset.
A021,Webcam,audio,general;workstation,home office build;editing workstation,integrated;mid,2000-4000;4000-6000,149,medium,frequently_bought_next;complete_your_setup,16,TRUE,Office and remote users often need webcam support.,Supports meetings and online classes.,Add a webcam for remote work and online communication.
A022,WiFi Bluetooth Adapter,networking,general;gaming,home office build;budget gaming;balanced gaming,integrated;low;mid,2000-4000;2000-3000;3000-5000,89,medium,complete_your_setup,20,TRUE,Some desktop builds may not include wireless connectivity.,Adds WiFi and Bluetooth connectivity.,Recommend wireless connectivity if motherboard features are limited.
A023,Cable Management Kit,setup_accessory,gaming;workstation;general,budget gaming;balanced gaming;high-end gaming;home office build;editing workstation,low;mid;high;integrated,2000-3000;3000-5000;5000-8000;2000-4000;4000-6000,39,low,complete_your_setup,50,TRUE,Improves presentation and organisation of the desk setup.,Cleaner workspace and easier cable maintenance.,Add cable management as a simple low-cost finishing item.
A024,Installation & Setup Support,service,gaming;workstation;general,budget gaming;balanced gaming;high-end gaming;home office build;editing workstation;professional workstation,low;mid;high;integrated,2000-3000;3000-5000;5000-8000;2000-4000;4000-6000;6000-9000,120,medium,complete_your_setup,99,FALSE,Some customers prefer ready-to-use setup support.,Reduces customer setup burden and improves experience.,Offer installation support to make the purchase frictionless.
A025,Data Migration Service,service,workstation;general,home office build;editing workstation;professional workstation,integrated;mid;high,2000-4000;4000-6000;6000-9000,150,medium,complete_your_setup;smart_budget_upsize,99,FALSE,Customers upgrading PCs may need files transferred safely.,Simplifies transition from old PC to new PC.,Offer data migration as a practical service upsell.
A026,Gaming Chair,furniture,gaming,balanced gaming;high-end gaming,mid;high,3000-5000;5000-8000,499,low,complete_your_setup,6,TRUE,Some gaming buyers may want a complete gaming station.,Improves comfort for long gaming sessions.,Optional lifestyle upsell for a complete gaming environment.
